raw_feature,coefficient,odds_ratio,feature_group,feature_label,absolute_coefficient
cat__office_location_Romania,-0.5291035563380851,0.5891328574482664,office,Office = location_Romania,0.5291035563380851
cat__office_location_Kenya,-0.3914808200842125,0.6760550170486451,office,Office = location_Kenya,0.3914808200842125
cat__engage_month_Oct,-0.3401618281276506,0.7116551476234997,engage,Engage = month_Oct,0.3401618281276506
cat__engage_year_2017,-0.3002817146846185,0.7406095507043974,engage,Engage = year_2017,0.3002817146846185
cat__engage_month_Jul,-0.2883237869481933,0.7495188685187246,engage,Engage = month_Jul,0.2883237869481933
cat__engage_month_Apr,-0.2193361422109389,0.8030517331944038,engage,Engage = month_Apr,0.2193361422109389
cat__office_location_Jordan,-0.20207388905478732,0.8170345558007872,office,Office = location_Jordan,0.20207388905478732
cat__office_location_Brazil,-0.18997886975076445,0.8269766079805849,office,Office = location_Brazil,0.18997886975076445
cat__office_location_Belgium,-0.161175107646017,0.8511430164071964,office,Office = location_Belgium,0.161175107646017
num__log_employee_count,-0.14328289418070358,0.8665089038928085,log,Log Employee Count,0.14328289418070358
cat__engage_month_Feb,-0.14067992108763216,0.8687673413052927,engage,Engage = month_Feb,0.14067992108763216
cat__office_location_Japan,-0.10194509013582535,0.9030791382602887,office,Office = location_Japan,0.10194509013582535
cat__industry_Finance,-0.09213746424220239,0.9119797763192644,industry,Industry = Finance,0.09213746424220239
cat__engage_quarter_Q3,-0.07097703572802418,0.9314832827174268,engage,Engage = quarter_Q3,0.07097703572802418
cat__industry_Employment,-0.06481361724755293,0.9372421328676408,industry,Industry = Employment,0.06481361724755293
cat__industry_Telecommunications,-0.04554010705243584,0.9554812802656532,industry,Industry = Telecommunications,0.04554010705243584
cat__engage_month_May,-0.04240093469943111,0.9584854134634216,engage,Engage = month_May,0.04240093469943111
cat__engage_quarter_Q2,-0.04200592302543407,0.9588641011792058,engage,Engage = quarter_Q2,0.04200592302543407
cat__product_MG Advanced,-0.041100454689537914,0.9597327154532657,product,Product = MG Advanced,0.041100454689537914
cat__engage_month_Mar,-0.0394747143300298,0.961294260652711,engage,Engage = month_Mar,0.0394747143300298
cat__sales_region_Central,-0.03350437361586854,0.9670506817139466,sales,Sales = region_Central,0.03350437361586854
cat__product_GTX Basic,-0.026434196706716373,0.9739121283524402,product,Product = GTX Basic,0.026434196706716373
cat__product_GTX Plus Basic,-0.02570683343199873,0.9746207739575571,product,Product = GTX Plus Basic,0.02570683343199873
cat__office_location_United States,-0.020775734561555913,0.9794385941666249,office,Office = location_United States,0.020775734561555913
cat__industry_Entertainment,-0.017880506841317846,0.9822784008946206,industry,Industry = Entertainment,0.017880506841317846
cat__product_series_GTK,-0.009793330399142257,0.9902544680982596,product,Product = series_GTK,0.009793330399142257
cat__product_GTK 500,-0.009793330399142257,0.9902544680982596,product,Product = GTK 500,0.009793330399142257
num__estimated_amount,-0.009126416612592638,0.9909151027239104,estimated,Estimated Amount,0.009126416612592638
cat__office_location_Italy,-0.0075678309972090525,0.9924607329347032,office,Office = location_Italy,0.0075678309972090525
cat__industry_Technology,0.0052357098347974,1.0052494401156646,industry,Industry = Technology,0.0052357098347974
cat__product_GTX Pro,0.008670367774861578,1.0087080642823016,product,Product = GTX Pro,0.008670367774861578
num__is_subsidiary,0.021029792745418982,1.021252477099356,is,Is Subsidiary,0.021029792745418982
cat__industry_Software,0.04761196918119732,1.0487636237515257,industry,Industry = Software,0.04761196918119732
cat__engage_month_Sep,0.056225391393880206,1.0578360840183898,engage,Engage = month_Sep,0.056225391393880206
cat__product_series_MG,0.05947141153624968,1.0612754203119592,product,Product = series_MG,0.05947141153624968
cat__sales_region_East,0.05995114033299792,1.0617846668327078,sales,Sales = region_East,0.05995114033299792
cat__industry_Services,0.06392451275113734,1.0660119254166833,industry,Industry = Services,0.06392451275113734
num__log_company_revenue,0.06523874277838954,1.067413831310104,log,Log Company Revenue,0.06523874277838954
cat__industry_Medical,0.0662484260461252,1.0684921254715072,industry,Industry = Medical,0.0662484260461252
cat__office_location_Korea,0.07428987765962661,1.0771189929787695,office,Office = location_Korea,0.07428987765962661
cat__industry_Marketing,0.0810522899177194,1.0844275997142077,industry,Industry = Marketing,0.0810522899177194
cat__product_series_GTX,0.08141350984929782,1.0848193873340668,product,Product = series_GTX,0.08141350984929782
cat__industry_Retail,0.08739037863894308,1.0913226256140138,industry,Industry = Retail,0.08739037863894308
cat__engage_month_Nov,0.09181440393380529,1.0961613599641928,engage,Engage = month_Nov,0.09181440393380529
num__account_age_at_engage,0.09220024081530975,1.0965843810482672,account,Account Age At Engage,0.09220024081530975
cat__engage_quarter_Q4,0.09879348279305014,1.1038383144126476,engage,Engage = quarter_Q4,0.09879348279305014
cat__product_MG Special,0.10057186622578858,1.105803108744436,product,Product = MG Special,0.10057186622578858
cat__office_location_Poland,0.1015939416297075,1.1069339006823349,office,Office = location_Poland,0.1015939416297075
cat__sales_region_West,0.10464482426927496,1.110316182952715,sales,Sales = region_West,0.10464482426927496
cat__office_location_Philipines,0.10464975213397457,1.11032165445412,office,Office = location_Philipines,0.10464975213397457
cat__office_location_Norway,0.11999083489754436,1.1274865180025668,office,Office = location_Norway,0.11999083489754436
cat__product_GTX Plus Pro,0.12488417221315316,1.1330172105902483,product,Product = GTX Plus Pro,0.12488417221315316
cat__office_location_China,0.13821739459130258,1.1482251410786184,office,Office = location_China,0.13821739459130258
cat__engage_quarter_Q1,0.14528106694681664,1.1563645404474847,engage,Engage = quarter_Q1,0.14528106694681664
cat__engage_month_Aug,0.16112135982628822,1.1748275370284822,engage,Engage = month_Aug,0.16112135982628822
cat__engage_month_Jun,0.21973115388493578,1.2457417727273676,engage,Engage = month_Jun,0.21973115388493578
cat__office_location_Germany,0.3215153138934997,1.3792161270332803,office,Office = location_Germany,0.3215153138934997
cat__engage_month_Jan,0.32543570236447666,1.3846338027945966,engage,Engage = month_Jan,0.32543570236447666
cat__engage_month_Dec,0.3471409069868958,1.4150160969783068,engage,Engage = month_Dec,0.3471409069868958
cat__engage_year_2016,0.43137330567102317,1.5393700982966136,engage,Engage = year_2016,0.43137330567102317
cat__office_location_Panama,0.8749353747492145,2.398720271058873,office,Office = location_Panama,0.8749353747492145
